lung,target,drug
ABL1,EGFR,EGFR
ABL2,KRAS,KRAS
ACVR1B,MET,BRAF
ACVR2A,BRAF,PIK3CA
ADAMTS20,ALK,ERBB2
AKT1,ERBB2,TP53
AKT2,ROS1,NRAS
AKT3,RET,DDR2
ALK,,ALK
ALOX12B,,ROS1
AMER1,,RET
APC,,MET
APCDD1,,CDA
AR,,XPC
ARAF,,MTHFR
ARFRP1,,GSTP1
ARID1A,,XRCC1
ARID1B,,ERCC1
ARID2,,SOD2
ASXL1,,DPYD
ATM,,UGT1A1
ATR,,CYP2D6
ATRX
AURK
AURKB
AXIN1
AXL
B2
BACH1
BAP1
BARD1
BCL2
BCL2L1
BCL2L11
BCL2L2
BCL6
BCOR
BCORL1
BCR
BIRC5
BLM
BMPR1A
BRAF
BRCA1
BRCA2
BRIP1
BTG1
BTK
C11orf30
CARD11
CASP8
CBFB
CBL
CBR1
CCND1
CCND2
CCND3
CCNE1
CD274
CD79A
CD79B
CDC73
CDH1
CDK12
CDK2
CDK4
CDK6
CDK8
CDKN1A
CDKN1B
CDKN2A
CDKN2B
CDKN2C
CEBPA
CHD2
CHD4
CHEK1
CHEK2
CHUK
CIC
CRBN
CREBBP
CRKL
CRLF2
CSF1R
CSMD3
CTCF
CTLA4
CTNNA1
CTNNB1
CUL4A
CUL4B
CYLD
CYP17A1
CYP2C19
CYP2D6
DAXX
DDR1
DDR2
DICER1
DIS3
DNMT1
DNMT3A
DOT1L
DPYD
EGFR
EML4
EP300
EPHA2
EPHA3
EPHA5
EPHA7
EPHB1
EPHB2
EPHB6
ERBB2
ERBB3
ERBB4
ERCC1
ERCC2
ERCC3
ERG
ESR1
ETV1
ETV4
ETV5
ETV6
EWSR1
EXT1
EXT2
EZH2
FAM46C
FANCA
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCI
FANCL
FANCM
FAS
FAT3
FBXW7
FCGR3A
FGF10
FGF12
FGF14
FGF19
FGF23
FGF3
FGF4
FGF6
FGF7
FGFR1
FGFR2
FGFR3
FGFR4
FH
FLCN
FLT1
FLT3
FLT4
FOXL2
FOXP1
FUBP1
FYN
G6PD
GATA1
GATA2
GATA3
GID4
GNA11
GNA13
GNAQ
GNAS
GPR124
GRIN2A
GRM3
GSK3B
GSTM1
GSTP1
GSTT1
H3F3A
HCK
HGF
HIF1A
HIST1H3B
HLA-A
HLA-DQA1
HNF1A
HRAS
HSP90AA1
IDH1
IDH2
IGF1
IGF1R
IGF2
IGF2R
IKBKB
IKBKE
IKZF1
IL7R
INHBA
IRF4
IRS2
ITGB2
JAK1
JAK2
JAK3
JUN
KAT6A
KDM5A
KDM5C
KDM6A
KDR
KEAP1
KIT
KLHL6
KMT2A
KMT2B
KMT2C
KMT2D
KRAS
LCK
LIMK1
LMO1
LRP1B
LYN
MAP2K1
MAP2K2
MAP2K4
MAP3K1
MAP3K13
MAPK1
MAPK8
MARK1
MCL1
MDM2
MDM4
MED12
MEF2B
MEN1
MET
MITF
MLH1
MPL
MRE11A
MS4A1
MSH2
MSH6
MTOR
MTRR
MUC1
MUTYH
MYC
MYCL
MYCN
MYD88
NAV3
NBN
NCOA1
NCOA2
NCOR1
NEK11
NF1
NF2
NFE2L2
NFKBIA
NKX2-1
NOTCH1
NOTCH2
NOTCH3
NOTCH4
NPM1
NRAS
NSD1
NTRK1
NTRK2
NTRK3
NUP93
PAK3
PAK7
PALB2
PARP1
PARP2
PARP3
PARP4
PAX5
PBRM1
PDE4DIP
PDGFRA
PDGFRB
PDK1
PHF6
PIGF
PIK3C2B
PIK3C2G
PIK3C3
PIK3CA
PIK3CB
PIK3CG
PIK3R1
PIK3R2
PLK1
PML
PMS1
PMS2
PNRC1
PPP2R1A
PRDM1
PRKAA1
PRKAR1A
PRKCA
PRKCB
PRKDC
PRSS8
PTCH1
PTEN
PTPN11
PTPRD
RAC1
RAC2
RAD50
RAD51
RAD51B
RAD51C
RAD51D
RAD52
RAD54L
RAF1
RARA
RB1
REL
RET
RICTOR
RNASEL
RNF43
ROS1
RPA1
RPS6KB1
RPTOR
RRM1
RUNX1
RUNX1T1
SDHA
SDHAF2
SDHB
SDHC
SDHD
SETD2
SF3B1
SGK1
SH2B3
SLIT2
SMAD2
SMAD3
SMAD4
SMARCA4
SMARCB1
SMARCD1
SMO
SOCS1
SOX10
SOX2
SOX9
SPEN
SPOP
SPTA1
SRC
SRD5A2
STAG2
STAT1
STAT3
STAT4
STAT5B
STK11
SUFU
SYK
TAF1
TBX3
TCF7L1
TCF7L2
TEK
TERT
TET2
TGFBR2
TIPARP
TLR4
TMPRSS2
TNFAIP3
TNFRSF14
TNFRSF8
TNFSF11
TNFSF13B
TNK2
TOP1
TOP2A
TP53
TRRAP
TSC1
TSC2
TSHR
U2AF1
UGT1A1
USP9X
VEGFA
VEGFB
VHL
WISP3
WT1
XPA
XPC
XPO1
XRCC3
YES1
ZNF217
ZNF703
